Date,INT,HOUSE,USD,STOCK
2005/1/1,2.28,201.11,83.64,1181.27002
2005/2/1,2.5,202.49,82.51,1203.599976
2005/3/1,2.63,204.61,84.05,1180.589966
2005/4/1,2.79,206.34,84.42,1156.849976
2005/5/1,3,208.05,87.8,1191.5
2005/6/1,3.04,209.82,88.98,1191.329956
2005/7/1,3.26,211.88,89.23,1234.180054
2005/8/1,3.5,213.48,87.54,1220.329956
2005/9/1,3.62,215.47,89.35,1228.810059
2005/10/1,3.78,216.65,89.93,1207.01001
2005/11/1,4,217.99,91.51,1249.47998
2005/12/1,4.16,219.35,90.96,1248.290039
2006/1/1,4.29,220.81,88.81,1280.079956
2006/2/1,4.49,221.24,90.08,1280.660034
2006/3/1,4.59,222.17,89.39,1294.869995
2006/4/1,4.79,222.58,85.88,1310.609985
2006/5/1,4.94,223.18,84.65,1270.089966
2006/6/1,4.99,223.12,84.9,1270.199951
2006/7/1,5.24,223.2,85.09,1276.660034
2006/8/1,5.25,223.73,85.02,1303.819946
2006/9/1,5.25,223.75,85.68,1335.849976
2006/10/1,5.25,224.04,85.11,1377.939941
2006/11/1,5.25,224.63,82.85,1400.630005
2006/12/1,5.24,224.83,83.43,1418.300049
2007/1/1,5.25,225.63,84.43,1438.23999
2007/2/1,5.26,225.51,83.5,1406.819946
2007/3/1,5.26,226.82,82.66,1420.859985
2007/4/1,5.25,226.67,81.3,1482.369995
2007/5/1,5.25,225.66,82.25,1530.619995
2007/6/1,5.25,224.8,81.69,1503.349976
2007/7/1,5.26,223.75,80.66,1455.27002
2007/8/1,5.02,222.8,80.75,1473.98999
2007/9/1,4.94,221.95,77.62,1526.75
2007/10/1,4.76,220.19,76.46,1549.380005
2007/11/1,4.49,218.79,76.17,1481.140015
2007/12/1,4.24,217.72,76.7,1468.359985
2008/1/1,3.94,215.7,75.28,1378.550049
2008/2/1,2.98,214.52,73.75,1330.630005
2008/3/1,2.61,212.65,72.17,1322.699951
2008/4/1,2.28,210.33,72.72,1385.589966
2008/5/1,1.98,207.98,72.95,1400.380005
2008/6/1,2,206.69,72.8,1280
2008/7/1,2.01,204.79,73.42,1267.380005
2008/8/1,2,202.96,77.5,1282.829956
2008/9/1,1.81,201.25,79.36,1166.359985
2008/10/1,0.97,199.2,86.34,968.75
2008/11/1,0.39,195.81,86.7,896.23999
2008/12/1,0.16,195.39,82.15,903.25
2009/1/1,0.15,197.26,86.46,825.880005
2009/2/1,0.22,197.6,88.15,735.090027
2009/3/1,0.18,195.27,85.89,797.869995
2009/4/1,0.15,194.09,84.78,872.809998
2009/5/1,0.18,193.63,79.43,919.140015
2009/6/1,0.21,193.55,80.42,919.320007
2009/7/1,0.16,193,78.45,987.47998
2009/8/1,0.16,192.73,78.22,1020.619995
2009/9/1,0.15,192.55,76.86,1057.079956
2009/10/1,0.12,193.06,76.47,1036.189941
2009/11/1,0.12,193.5,74.94,1095.630005
2009/12/1,0.12,191.46,78.22,1115.099976
2010/1/1,0.11,191.83,79.65,1073.869995
2010/2/1,0.13,190.73,80.44,1104.48999
2010/3/1,0.16,190.81,81.29,1169.430054
2010/4/1,0.2,190.96,81.99,1186.689941
2010/5/1,0.2,191.1,86.67,1089.410034
2010/6/1,0.18,188.89,86.28,1030.709961
2010/7/1,0.18,187.65,81.66,1101.599976
2010/8/1,0.19,187.52,83.25,1049.329956
2010/9/1,0.19,185.9,78.94,1141.199951
2010/10/1,0.19,186,77.46,1183.26001
2010/11/1,0.19,185.34,81.27,1180.550049
2010/12/1,0.18,184.02,79.29,1257.640015
2011/1/1,0.17,183.34,77.86,1286.119995
2011/2/1,0.16,181.26,76.92,1327.219971
2011/3/1,0.14,179.61,76.07,1325.829956
2011/4/1,0.1,180.03,73.11,1363.609985
2011/5/1,0.09,179.64,74.7,1345.199951
2011/6/1,0.09,180.26,74.64,1320.640015
2011/7/1,0.07,180.77,74.04,1292.280029
2011/8/1,0.1,180.3,74.17,1218.890015
2011/9/1,0.08,181.33,79.08,1131.420044
2011/10/1,0.07,180.31,76.31,1253.300049
2011/11/1,0.08,181.07,78.49,1246.959961
2011/12/1,0.07,181.86,80.52,1257.599976
2012/1/1,0.08,181.49,79.42,1312.410034
2012/2/1,0.1,181.74,78.79,1365.680054
2012/3/1,0.13,183.54,79.14,1408.469971
2012/4/1,0.14,184.56,78.85,1397.910034
2012/5/1,0.16,185.81,83.13,1310.329956
2012/6/1,0.16,186.47,81.75,1362.160034
2012/7/1,0.16,186.76,82.71,1379.319946
2012/8/1,0.13,187.84,81.22,1406.579956
2012/9/1,0.14,188.71,80.03,1440.670044
2012/10/1,0.16,189.82,79.99,1412.160034
2012/11/1,0.16,190.67,80.16,1416.180054
2012/12/1,0.16,191.75,79.87,1426.189941
2013/1/1,0.14,193.19,79.23,1498.109985
2013/2/1,0.15,194.45,82,1514.680054
2013/3/1,0.14,196.82,83.17,1569.189941
2013/4/1,0.15,197.82,81.81,1597.569946
2013/5/1,0.11,199.15,83.4,1630.73999
2013/6/1,0.09,200.42,83.38,1606.280029
2013/7/1,0.09,201.83,81.54,1685.72998
2013/8/1,0.08,202.73,82.14,1632.969971
2013/9/1,0.08,203.78,80.32,1681.550049
2013/10/1,0.09,204.66,80.26,1756.540039
2013/11/1,0.08,204.78,80.66,1805.810059
2013/12/1,0.09,205.98,80.19,1848.359985
2014/1/1,0.07,207.07,81.4,1782.589966
2014/2/1,0.07,207.88,79.72,1859.449951
2014/3/1,0.08,208.95,80.25,1872.339966
2014/4/1,0.09,209.38,79.53,1883.949951
2014/5/1,0.09,209.99,80.4,1923.569946
2014/6/1,0.1,210.83,79.81,1960.22998
2014/7/1,0.09,211.51,81.52,1930.670044
2014/8/1,0.09,212.64,82.78,2003.369995
2014/9/1,0.09,213.07,86.05,1972.290039
2014/10/1,0.09,214.16,87.02,2018.050049
